id,name,note,nbr_avis,type,quartier,prix
0,BRASSERIE DE LA TOUR EIFFEL,5/5,3,Bistrot – Brasserie,75007,€€
1,L'ARSENAL,"4,1/5",9,Bistrot – Brasserie,75004,€
2,LE CAFÉ DE PAULINE,"3,8/5",6,Cuisine française,75012,€
3,PARTIE DE CAMPAGNE,"2,7/5",24,Bistrot – Brasserie,75012,€
4,LE PAVÉ,"3,8/5",4,Cuisine française,75004,€€
5,AU CADET DE GASCOGNE,4/5,2,Cuisine française,75018,€€
6,LE MOULIN ROUGE,"4,3/5",6,Restaurant insolite,75018,€€€
7,CORIANDRE,"4,3/5",3,Restaurant indien,75014,€
8,INSTANTS DE SAVEURS,5/5,5,Sur place – À emporter,75015,€
9,WADJA,"3,5/5",4,Bistronomie,75006,€€
10,LE NAZIR,4/5,1,Cuisine française,75018,€€
11,LA TOUR DE JADE,None,None,Restaurant chinois,75002,€€
12,BRASSERIE SAIGON,"4,5/5",4,Restaurant vietnamien,75014,€
13,LA MAISON DE LA POUTINE - MANDAR,"4,3/5",3,Restaurant canadien,75002,€
14,AU PAVILLON DE PARIS,4/5,1,Cuisine française,75001,€€
15,AU PETIT TONNEAU,3/5,1,Bistrot – Brasserie,75007,€€
16,AUX ROUTIERS,5/5,3,Bistrot – Brasserie,75018,€€
17,MAISON DE LA POUTINE - PARMENTIER,None,None,Restaurant canadien,75011,€
18,TO RESTAURANT PARIS,"4,5/5",2,Cuisine d'Asie,75010,€€
19,MOOM MAM,5/5,1,Restaurant thaïlandais,75009,€€
0,LE TWO,5/5,2,Restaurant bio,75003,€€
1,LA BAUHINIA - SHANGRI-LA HÔTEL,4/5,1,Restaurant d’hôtel,75116,€€€
2,BONG,"3,8/5",22,Restaurant coréen,75015,€€
3,AUTOMNE,5/5,3,Cuisine française,75011,€€
4,PORTOLOGIA,5/5,2,Restaurant portugais,75003,€
5,LA SCÈNE THÉLÈME,5/5,1,Cuisine française,75017,€€
6,ARNAUD NICOLAS CHARCUTERIE CUISINÉE,5/5,1,Cuisine française,75007,€€
7,LE CAMONDO,5/5,1,Cuisine française,75008,€€
8,LOCA,5/5,1,Restaurant argentin,75018,€€
9,MONSIEUR,5/5,1,Restaurant d’hôtel,75008,€€€
10,MON LOUP,5/5,1,Cuisine française,75017,€€
11,MA BICHE,5/5,1,Cuisine française,75018,€€
12,DOMA,5/5,1,Restaurant coréen,75003,€€
